127.0.0.1 - - [22/Feb/2023:09:07:36 +0900] "GET / HTTP/1.1" 200 161
0:0:0:0:0:0:0:1 - - [22/Feb/2023:09:07:37 +0900] "GET /JS/oop/o_exam03.html HTTP/1.1" 200 225
0:0:0:0:0:0:0:1 - - [22/Feb/2023:09:07:37 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [22/Feb/2023:09:08:52 +0900] "GET /JS/oop/o_exam03.html HTTP/1.1" 200 285
0:0:0:0:0:0:0:1 - - [22/Feb/2023:09:08:53 +0900] "GET /JS/oop/o_exam03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2023:09:10:01 +0900] "GET /JS/oop/o_exam03.html HTTP/1.1" 200 380
0:0:0:0:0:0:0:1 - - [22/Feb/2023:09:12:21 +0900] "GET /JS/oop/o_exam03.html HTTP/1.1" 200 506
0:0:0:0:0:0:0:1 - - [22/Feb/2023:09:17:30 +0900] "GET /JS/oop/o_exam03.html HTTP/1.1" 200 959
0:0:0:0:0:0:0:1 - - [22/Feb/2023:09:17:31 +0900] "GET /JS/oop/o_exam03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2023:09:17:31 +0900] "GET /JS/oop/o_exam03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2023:09:17:31 +0900] "GET /JS/oop/o_exam03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2023:09:18:13 +0900] "GET /JS/oop/o_exam03.html HTTP/1.1" 200 1006
0:0:0:0:0:0:0:1 - - [22/Feb/2023:09:18:44 +0900] "GET /JS/oop/o_exam03.html HTTP/1.1" 200 1092
0:0:0:0:0:0:0:1 - - [22/Feb/2023:09:21:23 +0900] "GET /JS/oop/o_exam03.html HTTP/1.1" 200 1268
0:0:0:0:0:0:0:1 - - [22/Feb/2023:09:23:02 +0900] "GET /JS/oop/o_exam03.html HTTP/1.1" 200 1372
0:0:0:0:0:0:0:1 - - [22/Feb/2023:09:23:22 +0900] "GET /JS/oop/o_exam03.html HTTP/1.1" 200 1402
0:0:0:0:0:0:0:1 - - [22/Feb/2023:09:25:24 +0900] "GET /JS/oop/o_exam03.html HTTP/1.1" 200 1455
0:0:0:0:0:0:0:1 - - [22/Feb/2023:09:25:40 +0900] "GET /JS/oop/o_exam03.html HTTP/1.1" 200 1487
0:0:0:0:0:0:0:1 - - [22/Feb/2023:09:26:08 +0900] "GET /JS/oop/o_exam03.html HTTP/1.1" 200 1546
0:0:0:0:0:0:0:1 - - [22/Feb/2023:09:27:27 +0900] "GET /JS/oop/o_exam03.html HTTP/1.1" 200 1770
0:0:0:0:0:0:0:1 - - [22/Feb/2023:09:31:54 +0900] "GET /JS/oop/o_exam03.html HTTP/1.1" 200 2050
